DevID,YearsExperience,TypeScriptSkill,Salary
1.010000000000000000e+02,2.000000000000000000e+00,9.000000000000000000e+00,7.566200000000000000e+04
1.020000000000000000e+02,1.200000000000000000e+01,2.000000000000000000e+00,1.100850000000000000e+05
1.030000000000000000e+02,1.000000000000000000e+01,9.000000000000000000e+00,1.169500000000000000e+05
1.040000000000000000e+02,7.000000000000000000e+00,1.000000000000000000e+00,7.999700000000000000e+04
1.050000000000000000e+02,7.000000000000000000e+00,8.000000000000000000e+00,9.857400000000000000e+04
1.060000000000000000e+02,1.300000000000000000e+01,8.000000000000000000e+00,1.266580000000000000e+05
1.070000000000000000e+02,2.000000000000000000e+00,8.000000000000000000e+00,7.664200000000000000e+04
1.080000000000000000e+02,1.100000000000000000e+01,7.000000000000000000e+00,1.206910000000000000e+05
1.090000000000000000e+02,4.000000000000000000e+00,5.000000000000000000e+00,7.263500000000000000e+04
1.100000000000000000e+02,2.000000000000000000e+00,8.000000000000000000e+00,7.678700000000000000e+04
1.110000000000000000e+02,8.000000000000000000e+00,3.000000000000000000e+00,8.661100000000000000e+04
1.120000000000000000e+02,1.500000000000000000e+01,8.000000000000000000e+00,1.411680000000000000e+05
1.130000000000000000e+02,1.200000000000000000e+01,6.000000000000000000e+00,1.208900000000000000e+05
1.140000000000000000e+02,1.200000000000000000e+01,5.000000000000000000e+00,1.144930000000000000e+05
1.150000000000000000e+02,1.100000000000000000e+01,6.000000000000000000e+00,1.153690000000000000e+05
1.160000000000000000e+02,1.200000000000000000e+01,6.000000000000000000e+00,1.157220000000000000e+05
1.170000000000000000e+02,8.000000000000000000e+00,1.000000000000000000e+00,7.879200000000000000e+04
1.180000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+00,5.196300000000000000e+04
1.190000000000000000e+02,1.300000000000000000e+01,3.000000000000000000e+00,1.134700000000000000e+05
1.200000000000000000e+02,7.000000000000000000e+00,2.000000000000000000e+00,8.502600000000000000e+04
1.210000000000000000e+02,8.000000000000000000e+00,5.000000000000000000e+00,9.127500000000000000e+04
1.220000000000000000e+02,6.000000000000000000e+00,7.000000000000000000e+00,9.055700000000000000e+04
1.230000000000000000e+02,3.000000000000000000e+00,7.000000000000000000e+00,7.804000000000000000e+04
1.240000000000000000e+02,1.400000000000000000e+01,5.000000000000000000e+00,1.220230000000000000e+05
1.250000000000000000e+02,1.200000000000000000e+01,9.000000000000000000e+00,1.292160000000000000e+05
1.260000000000000000e+02,1.000000000000000000e+01,6.000000000000000000e+00,1.060590000000000000e+05
1.270000000000000000e+02,7.000000000000000000e+00,1.000000000000000000e+00,8.108600000000000000e+04
1.280000000000000000e+02,1.300000000000000000e+01,8.000000000000000000e+00,1.297920000000000000e+05
1.290000000000000000e+02,9.000000000000000000e+00,6.000000000000000000e+00,1.034690000000000000e+05
1.300000000000000000e+02,7.000000000000000000e+00,7.000000000000000000e+00,9.276700000000000000e+04
1.310000000000000000e+02,7.000000000000000000e+00,6.000000000000000000e+00,9.263200000000000000e+04
1.320000000000000000e+02,4.000000000000000000e+00,6.000000000000000000e+00,8.156600000000000000e+04
1.330000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+00,4.819500000000000000e+04
1.340000000000000000e+02,9.000000000000000000e+00,6.000000000000000000e+00,1.055850000000000000e+05
1.350000000000000000e+02,1.400000000000000000e+01,8.000000000000000000e+00,1.339270000000000000e+05
1.360000000000000000e+02,1.000000000000000000e+00,4.000000000000000000e+00,5.919400000000000000e+04
1.370000000000000000e+02,1.300000000000000000e+01,7.000000000000000000e+00,1.276320000000000000e+05
1.380000000000000000e+02,1.300000000000000000e+01,1.000000000000000000e+00,1.073200000000000000e+05
1.390000000000000000e+02,5.000000000000000000e+00,4.000000000000000000e+00,7.508600000000000000e+04
1.400000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+00,1.062730000000000000e+05
1.410000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+01,8.140200000000000000e+04
1.420000000000000000e+02,1.200000000000000000e+01,3.000000000000000000e+00,1.098400000000000000e+05
1.430000000000000000e+02,1.100000000000000000e+01,3.000000000000000000e+00,9.994600000000000000e+04
1.440000000000000000e+02,6.000000000000000000e+00,5.000000000000000000e+00,8.649800000000000000e+04
1.450000000000000000e+02,2.000000000000000000e+00,1.000000000000000000e+01,8.128700000000000000e+04
1.460000000000000000e+02,1.500000000000000000e+01,9.000000000000000000e+00,1.378440000000000000e+05
1.470000000000000000e+02,7.000000000000000000e+00,1.000000000000000000e+00,8.057400000000000000e+04
1.480000000000000000e+02,1.400000000000000000e+01,3.000000000000000000e+00,1.181580000000000000e+05
1.490000000000000000e+02,1.100000000000000000e+01,9.000000000000000000e+00,1.248680000000000000e+05
1.500000000000000000e+02,1.200000000000000000e+01,1.000000000000000000e+00,9.841600000000000000e+04
1.510000000000000000e+02,1.200000000000000000e+01,9.000000000000000000e+00,1.237940000000000000e+05
1.520000000000000000e+02,3.000000000000000000e+00,3.000000000000000000e+00,6.393900000000000000e+04
1.530000000000000000e+02,6.000000000000000000e+00,1.000000000000000000e+01,9.688200000000000000e+04
1.540000000000000000e+02,8.000000000000000000e+00,3.000000000000000000e+00,8.729800000000000000e+04
1.550000000000000000e+02,8.000000000000000000e+00,5.000000000000000000e+00,9.660500000000000000e+04
1.560000000000000000e+02,1.000000000000000000e+00,7.000000000000000000e+00,6.244500000000000000e+04
1.570000000000000000e+02,9.000000000000000000e+00,2.000000000000000000e+00,9.277700000000000000e+04
